2025-08-16 10:42:27,110 - __main__ - INFO - Epoch: 42, Train Accuracy: 83.05, Valid Accuracy: 84.92, Test Accuracy: 85.54, Training Time: 262.74s, Valid Time: 13.41s, Testing Time: 14.58s
2025-08-16 10:47:17,833 - __main__ - INFO - Epoch: 43, Train Accuracy: 83.27, Valid Accuracy: 85.68, Test Accuracy: 85.50, Training Time: 262.73s, Valid Time: 13.40s, Testing Time: 14.59s
2025-08-16 10:53:04,270 - __main__ - INFO - Epoch: 44, Train Accuracy: 83.11, Valid Accuracy: 85.39, Test Accuracy: 85.48, Training Time: 263.03s, Valid Time: 13.42s, Testing Time: 14.59s
2025-08-16 10:57:55,213 - __main__ - INFO - Epoch: 45, Train Accuracy: 82.83, Valid Accuracy: 85.23, Test Accuracy: 85.26, Training Time: 262.94s, Valid Time: 13.42s, Testing Time: 14.59s
2025-08-16 11:02:46,432 - __main__ - INFO - Epoch: 46, Train Accuracy: 82.96, Valid Accuracy: 85.17, Test Accuracy: 85.73, Training Time: 263.19s, Valid Time: 13.43s, Testing Time: 14.60s
2025-08-16 11:07:37,494 - __main__ - INFO - Epoch: 47, Train Accuracy: 82.61, Valid Accuracy: 84.83, Test Accuracy: 85.34, Training Time: 262.99s, Valid Time: 13.47s, Testing Time: 14.59s
2025-08-16 11:12:28,282 - __main__ - INFO - Epoch: 48, Train Accuracy: 83.19, Valid Accuracy: 84.70, Test Accuracy: 85.93, Training Time: 262.78s, Valid Time: 13.42s, Testing Time: 14.58s
2025-08-16 11:17:19,303 - __main__ - INFO - Epoch: 49, Train Accuracy: 83.43, Valid Accuracy: 85.30, Test Accuracy: 85.79, Training Time: 263.00s, Valid Time: 13.42s, Testing Time: 14.60s
2025-08-16 11:22:10,236 - __main__ - INFO - Epoch: 50, Train Accuracy: 83.55, Valid Accuracy: 85.50, Test Accuracy: 86.55, Training Time: 262.91s, Valid Time: 13.42s, Testing Time: 14.60s
2025-08-16 11:27:00,846 - __main__ - INFO - Epoch: 51, Train Accuracy: 83.47, Valid Accuracy: 85.30, Test Accuracy: 85.93, Training Time: 262.62s, Valid Time: 13.41s, Testing Time: 14.58s
2025-08-16 11:31:51,617 - __main__ - INFO - Epoch: 52, Train Accuracy: 83.41, Valid Accuracy: 85.32, Test Accuracy: 85.48, Training Time: 262.77s, Valid Time: 13.41s, Testing Time: 14.58s
2025-08-16 11:36:42,427 - __main__ - INFO - Epoch: 53, Train Accuracy: 83.75, Valid Accuracy: 85.92, Test Accuracy: 86.43, Training Time: 262.81s, Valid Time: 13.41s, Testing Time: 14.59s
2025-08-16 11:42:28,486 - __main__ - INFO - Epoch: 54, Train Accuracy: 83.30, Valid Accuracy: 85.97, Test Accuracy: 85.17, Training Time: 262.70s, Valid Time: 13.41s, Testing Time: 14.58s
2025-08-16 11:48:14,549 - __main__ - INFO - Epoch: 55, Train Accuracy: 83.60, Valid Accuracy: 85.28, Test Accuracy: 85.34, Training Time: 262.65s, Valid Time: 13.40s, Testing Time: 14.58s
2025-08-16 11:53:04,963 - __main__ - INFO - Epoch: 56, Train Accuracy: 83.55, Valid Accuracy: 85.41, Test Accuracy: 85.71, Training Time: 262.46s, Valid Time: 13.40s, Testing Time: 14.56s
2025-08-16 11:57:55,497 - __main__ - INFO - Epoch: 57, Train Accuracy: 83.45, Valid Accuracy: 85.52, Test Accuracy: 85.63, Training Time: 262.56s, Valid Time: 13.40s, Testing Time: 14.57s
2025-08-16 12:02:45,895 - __main__ - INFO - Epoch: 58, Train Accuracy: 83.57, Valid Accuracy: 85.21, Test Accuracy: 85.54, Training Time: 262.44s, Valid Time: 13.40s, Testing Time: 14.56s
2025-08-16 12:07:36,498 - __main__ - INFO - Epoch: 59, Train Accuracy: 83.63, Valid Accuracy: 84.99, Test Accuracy: 85.87, Training Time: 262.55s, Valid Time: 13.44s, Testing Time: 14.61s
2025-08-16 12:12:26,972 - __main__ - INFO - Epoch: 60, Train Accuracy: 83.78, Valid Accuracy: 85.14, Test Accuracy: 85.50, Training Time: 262.51s, Valid Time: 13.40s, Testing Time: 14.57s
2025-08-16 12:17:17,505 - __main__ - INFO - Epoch: 61, Train Accuracy: 83.74, Valid Accuracy: 85.70, Test Accuracy: 85.87, Training Time: 262.55s, Valid Time: 13.40s, Testing Time: 14.58s
2025-08-16 12:22:07,951 - __main__ - INFO - Epoch: 62, Train Accuracy: 84.20, Valid Accuracy: 85.72, Test Accuracy: 85.95, Training Time: 262.49s, Valid Time: 13.39s, Testing Time: 14.56s
2025-08-16 12:26:58,232 - __main__ - INFO - Epoch: 63, Train Accuracy: 83.55, Valid Accuracy: 85.30, Test Accuracy: 85.28, Training Time: 262.32s, Valid Time: 13.39s, Testing Time: 14.56s
2025-08-16 12:31:48,632 - __main__ - INFO - Epoch: 64, Train Accuracy: 83.74, Valid Accuracy: 85.28, Test Accuracy: 85.56, Training Time: 262.44s, Valid Time: 13.39s, Testing Time: 14.57s
2025-08-16 12:36:39,083 - __main__ - INFO - Epoch: 65, Train Accuracy: 84.11, Valid Accuracy: 86.15, Test Accuracy: 86.16, Training Time: 262.49s, Valid Time: 13.39s, Testing Time: 14.57s
2025-08-16 12:42:24,854 - __main__ - INFO - Epoch: 66, Train Accuracy: 83.33, Valid Accuracy: 85.06, Test Accuracy: 85.52, Training Time: 262.31s, Valid Time: 13.39s, Testing Time: 14.56s
